workload,N,dtype,device,variant,ms,speedup,compile_s,maxdiff,ok,note
area,10000,float64,cpu,eager_rev,609.9440056830645,0.9835251535480717,0.0,nan,True,
area,10000,float64,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
area,10000,float64,cpu,compiled[fusion],10.166813991963863,59.00523726698807,0.38852149061858654,nan,False,
area,10000,float64,cpu,compiled[cuda_graphs],17.696341313421726,33.89939542984366,0.41712396405637264,nan,False,
neohookean,1000,float32,cpu,eager_fwd(lib),350.0647868961096,1.0,0.0,0.0,True,baseline
neohookean,1000,float32,cpu,eager_rev,270.21580431610346,1.29550078605542,0.0,9.206960314686538e-08,True,
neohookean,1000,float32,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean,1000,float32,cpu,compiled[fusion],10.092776827514172,34.68468518413973,7.170652134343982,9.206960314686538e-08,True,
neohookean,1000,float32,cpu,compiled[cuda_graphs],10.277793742716312,34.060304736529105,6.84838548488915,9.206960314686538e-08,True,
neohookean,10000,float32,cpu,eager_fwd(lib),739.9441625922918,1.0,0.0,0.0,True,baseline
neohookean,10000,float32,cpu,eager_rev,650.0296590849757,1.1383236937740435,0.0,1.0498836466448605e-07,True,
neohookean,10000,float32,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean,10000,float32,cpu,compiled[fusion],19.95033286511898,37.089314127986555,0.4774547163397074,1.0498836466448605e-07,True,
neohookean,10000,float32,cpu,compiled[cuda_graphs],10.129531286656857,73.04821335287099,0.48717731423676014,1.0498836466448605e-07,True,
neohookean,1000,float64,cpu,eager_fwd(lib),399.87119659781456,1.0,0.0,0.0,True,baseline
neohookean,1000,float64,cpu,eager_rev,300.1565909013152,1.3322086161662308,0.0,1.5555208145902946e-16,True,
neohookean,1000,float64,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean,1000,float64,cpu,compiled[fusion],30.092547088861465,13.288047549348986,7.386393208056688,1.5555208145902946e-16,True,
neohookean,1000,float64,cpu,compiled[cuda_graphs],20.045369304716587,19.948307787161927,7.094459826126695,1.5555208145902946e-16,True,
neohookean,10000,float64,cpu,eager_fwd(lib),1140.1597702875733,1.0,0.0,0.0,True,baseline
